Date,Open (BTC),High (BTC),Low (BTC),Close (BTC),Volume (BTC),Open (USDT),High (USDT),Low (USDT),Close (USDT),Volume (USDT)
2019-01-03 00:00:00+00:00,3931.048583984375,3935.68505859375,3826.222900390625,3836.7412109375,4530215219,1.0206539630889893,1.026824951171875,1.018286943435669,1.0194729566574097,3487202823
2019-01-04 00:00:00+00:00,3832.0400390625,3865.9345703125,3783.853759765625,3857.717529296875,4847965467,1.0235569477081299,1.024857997894287,1.0108100175857544,1.017199993133545,3895786727
2019-01-05 00:00:00+00:00,3851.973876953125,3904.903076171875,3836.900146484375,3845.194580078125,5137609824,1.0155260562896729,1.0263429880142212,1.0103410482406616,1.0184890031814575,3993806914
2019-01-06 00:00:00+00:00,3836.51904296875,4093.29736328125,3826.51318359375,4076.632568359375,5597027440,1.0181440114974976,1.0262019634246826,1.0048420429229736,1.0235780477523804,4224650070
2019-01-07 00:00:00+00:00,4078.5849609375,4092.613525390625,4020.89404296875,4025.248291015625,5228625637,1.022354006767273,1.0247650146484375,1.0123419761657715,1.0139869451522827,3761972510
2019-01-08 00:00:00+00:00,4028.47216796875,4109.02099609375,3996.955322265625,4030.847900390625,5306593305,1.0143699645996094,1.0224039554595947,1.0128949880599976,1.0193500518798828,3843200052
2019-01-09 00:00:00+00:00,4031.552001953125,4068.403564453125,4022.662841796875,4035.29638671875,5115905225,1.019819974899292,1.022186040878296,1.0103039741516113,1.0168299674987793,3694148978
2019-01-10 00:00:00+00:00,4034.411376953125,4064.066650390625,3659.174560546875,3678.924560546875,6874143796,1.0175399780273438,1.0481810569763184,1.0164330005645752,1.023460030555725,5844376311
2019-01-11 00:00:00+00:00,3674.015380859375,3713.8818359375,3653.06982421875,3687.365478515625,5538712865,1.0276379585266113,1.0281709432601929,1.0199600458145142,1.0233160257339478,4194066259
2019-01-12 00:00:00+00:00,3686.97314453125,3698.978271484375,3653.810791015625,3661.301025390625,4778170883,1.0247180461883545,1.0281749963760376,1.0168670415878296,1.0208810567855835,3258438567
2019-01-13 00:00:00+00:00,3658.8681640625,3674.760009765625,3544.92724609375,3552.953125,4681302466,1.0207710266113281,1.0383700132369995,1.0163110494613647,1.0200910568237305,3380321686
2019-01-14 00:00:00+00:00,3557.31103515625,3727.836181640625,3552.28515625,3706.05224609375,5651384490,1.0202089548110962,1.0262320041656494,1.0126399993896484,1.0208560228347778,4072427029
2019-01-15 00:00:00+00:00,3704.21630859375,3720.1533203125,3619.94921875,3630.67529296875,5537192302,1.0190269947052002,1.0267750024795532,1.017698049545288,1.0205579996109009,3956962447
2019-01-16 00:00:00+00:00,3631.509765625,3685.777099609375,3624.67333984375,3655.0068359375,5394457145,1.0221279859542847,1.0242840051651,1.0152109861373901,1.018522024154663,3933540777
2019-01-17 00:00:00+00:00,3651.87109375,3680.135986328125,3621.9609375,3678.56396484375,5464420383,1.016772985458374,1.0192010402679443,1.0124469995498657,1.017495036125183,4146824182
2019-01-18 00:00:00+00:00,3677.990478515625,3682.52001953125,3637.080810546875,3657.83935546875,5002961727,1.0164459943771362,1.0204540491104126,1.0129879713058472,1.0172510147094727,3661299223
2019-01-19 00:00:00+00:00,3652.3779296875,3758.533447265625,3652.3779296875,3728.568359375,5955691380,1.0129350423812866,1.0206559896469116,1.0100330114364624,1.0167820453643799,3961648844
2019-01-20 00:00:00+00:00,3725.446044921875,3743.387939453125,3583.01953125,3601.013671875,5582489560,1.016901969909668,1.0274879932403564,1.0131590366363525,1.0171459913253784,4389435191
2019-01-21 00:00:00+00:00,3600.372802734375,3608.8408203125,3558.537109375,3576.032470703125,5004347059,1.0155240297317505,1.0226110219955444,1.0059670209884644,1.013375997543335,3497758658
2019-01-22 00:00:00+00:00,3575.081298828125,3620.74658203125,3539.721435546875,3604.5771484375,5313623556,1.0133450031280518,1.0152909755706787,1.0068639516830444,1.0090359449386597,3879616222
2019-01-23 00:00:00+00:00,3605.55712890625,3623.06787109375,3565.31396484375,3585.123046875,5433755649,1.0098680257797241,1.013329029083252,1.0072859525680542,1.0082969665527344,3663985821
2019-01-24 00:00:00+00:00,3584.500244140625,3616.08740234375,3569.0927734375,3600.865478515625,5262869046,1.008823037147522,1.012004017829895,1.004546046257019,1.0085400342941284,3581348682
2019-01-25 00:00:00+00:00,3607.390380859375,3612.927734375,3575.597412109375,3599.765869140625,5265847539,1.010200023651123,1.0128990411758423,1.0073590278625488,1.0105220079421997,3634209137
2019-01-26 00:00:00+00:00,3599.71533203125,3654.93310546875,3593.345947265625,3602.46044921875,5098183235,1.0100280046463013,1.0139390230178833,1.0042580366134644,1.0092639923095703,3445405585
2019-01-27 00:00:00+00:00,3604.687255859375,3612.67138671875,3567.245849609375,3583.9658203125,5570752966,1.0105849504470825,1.0148940086364746,1.004917025566101,1.0087169408798218,3932642453
2019-01-28 00:00:00+00:00,3584.283203125,3586.7509765625,3439.23291015625,3470.450439453125,6908930483,1.0094050168991089,1.0137439966201782,1.0060820579528809,1.008829951286316,4951907623
2019-01-29 00:00:00+00:00,3468.8701171875,3476.0654296875,3400.81982421875,3448.116943359375,5897159493,1.0082759857177734,1.0125230550765991,1.0060169696807861,1.0094380378723145,4206195777
2019-01-30 00:00:00+00:00,3443.89697265625,3495.1748046875,3429.387939453125,3486.181640625,5955112627,1.0093220472335815,1.0118440389633179,1.0049049854278564,1.0071879625320435,4249354160
2019-01-31 00:00:00+00:00,3485.4091796875,3504.804931640625,3447.915771484375,3457.792724609375,5831198271,1.0066649913787842,1.009431004524231,1.004127025604248,1.0064899921417236,4110696174
2019-02-01 00:00:00+00:00,3460.547119140625,3501.9541015625,3431.591552734375,3487.9453125,5422926707,1.004796028137207,1.0107300281524658,1.001006007194519,1.0063090324401855,3949396927
2019-02-02 00:00:00+00:00,3484.6259765625,3523.287353515625,3467.57470703125,3521.060791015625,5071623601,1.0051519870758057,1.0078129768371582,1.0010030269622803,1.0026999711990356,3806913471
2019-02-03 00:00:00+00:00,3516.1396484375,3521.38818359375,3447.92431640625,3464.013427734375,5043937584,1.000946044921875,1.0062849521636963,0.9981110095977783,1.000046968460083,3756996124
2019-02-04 00:00:00+00:00,3467.211669921875,3476.223876953125,3442.5869140625,3459.154052734375,5332718886,1.001505970954895,1.0035040378570557,0.9976369738578796,0.9998260140419006,3770858317
2019-02-05 00:00:00+00:00,3454.950927734375,3478.148193359375,3451.93701171875,3466.357421875,5227549545,0.9984350204467773,1.0049450397491455,0.9955009818077087,0.9995319843292236,3691717612
2019-02-06 00:00:00+00:00,3469.091796875,3469.091796875,3398.5654296875,3413.767822265625,5482196038,0.9994980096817017,1.0128779411315918,0.9928810000419617,1.0010030269622803,4271302713
2019-02-07 00:00:00+00:00,3414.929443359375,3427.945556640625,3394.218505859375,3399.4716796875,5004962683,1.0014779567718506,1.0032459497451782,0.9985449910163879,1.0010780096054077,3569921563
2019-02-08 00:00:00+00:00,3401.37646484375,3695.614013671875,3391.023681640625,3666.7802734375,7735623101,1.0009440183639526,1.0090789794921875,0.9867690205574036,1.0019429922103882,6153689552
2019-02-09 00:00:00+00:00,3671.5859375,3679.94140625,3646.559326171875,3671.20361328125,6158833645,1.0039139986038208,1.0063459873199463,0.998760998249054,1.0002950429916382,4749715865
2019-02-10 00:00:00+00:00,3673.201416015625,3695.0361328125,3640.97998046875,3690.188232421875,6282256903,1.0010470151901245,1.0081770420074463,0.9999300241470337,1.0042170286178589,4965113768
2019-02-11 00:00:00+00:00,3695.613037109375,3695.613037109375,3642.287841796875,3648.4306640625,6277056434,1.004241943359375,1.012470006942749,1.001531958580017,1.0031650066375732,5144064149
2019-02-12 00:00:00+00:00,3642.751953125,3668.5869140625,3618.556884765625,3653.528564453125,6480384532,1.00314199924469,1.007925033569336,0.998773992061615,1.003978967666626,5105059634
2019-02-13 00:00:00+00:00,3653.60400390625,3669.74658203125,3617.246337890625,3632.070556640625,6438903823,1.004544973373413,1.0072710514068604,0.9995260238647461,1.0039680004119873,5228665975
2019-02-14 00:00:00+00:00,3631.170166015625,3646.256591796875,3607.69775390625,3616.880859375,6271044418,1.0041860342025757,1.0104390382766724,1.0014630556106567,1.0064820051193237,4761618448
2019-02-15 00:00:00+00:00,3617.368408203125,3647.795166015625,3608.20654296875,3620.810791015625,6091952231,1.0067869424819946,1.0086569786071777,1.0018340349197388,1.0034409761428833,5016161093
